0,BusDepot
1,Chapel
2,East
3,GA
4,Hospital
5,LSRC
6,Physics
7,Ruby
8,Sanford
9,Smith
10,Trent
11,Wanny
***
Station,Target,time,dist,flow
***
8AM - Morning
 - Chapel
1,2,0.5,10,130
1,4,1,3,30
1,5,1,3,20
1,6,1,7.5,80
1,8,0.5,7.5,50
1,10,1,3,30
 - East
2,1,1,10,80
2,5,0.8,7.5,50
2,6,0.7,10,80
2,7,1,7.5,20
2,10,1,7.5,20
 - Wanny
11,2,0.7,10,20
11,6,1,10,30
11,7,1,10,30

10AM - Morning
 - Chapel
1,2,2.5,10,100
1,4,3,3,40
1,5,3,3,20
1,8,2.5,7.5,50
1,10,3,3,30
 - East
2,1,2.5,10,100
2,5,2.8,7.5,50
2,6,2.5,10,100
2,7,3,7.5,30
2,10,3,7.5,30
 - LSRC
5,2,3,3,20
 - Sanford
8,1,3,3,20
8,2,3,3,10
 - Physics
6,2,3,3,50
6,10,3,3,10
 - Trent
10,1,3,3,10
10,2,3,3,10
 - Wanny
11,2,3,7.5,30
11,6,3,7.5,30
11,7,3,10,10

12AM - Noon
 - Chapel
1,2,5,10,100
 - East
2,1,5,7.5,120
2,9,5,7.5,10
 - Hospital
4,2,5,7.5,20
4,1,5,3,30
 - LSRC
5,1,5,3,20
5,2,5,7.5,80
5,3,5,3,10
 - Sanford
8,2,5,3,20
 - Physics
6,2,5,3,30
6,10,5,3,10
 - Trent
10,1,5,3,10
10,2,5,3,10

1PM - Noon
 - Chapel
1,2,6,10,100
1,4,6,5,20
1,5,6,5,20
1,8,6,10,20
 - East
2,1,6.1,10,100
2,5,6,10,50
2,6,6,10,50
2,7,6,10,10
2,8,6,10,20
2,10,6,10,20
 - LSRC
5,2,6,5,20
 - Sanford
8,1,6,5,20
8,2,6,5,10
 - Physics
6,2,3,5,50
6,10,3,5,10
 - Wanny
11,2,3,10,20
11,6,3,10,20
11,7,3,10,10

3PM - Afternoon
 - Chapel
1,2,8,20,200
1,5,8,5,20
1,8,8.2,10,20
1,10,8,5,20
 - East
2,1,8,10,50
2,5,8,10,20
2,6,8,10,20
2,7,8,10,10
2,10,8,10,30
 - LSRC
5,2,8,5,50
5,8,8,5,10
 - Sanford
8,1,8,5,20
8,2,8,5,10
 - Physics
6,2,8,5,60
6,10,8,5,10
 - Trent
10,1,8,5,10
10,2,8,5,10
 - Wanny
11,2,8,10,20
11,6,8,10,10
11,7,8,10,5

5:30PM - Evening
 - Chapel
1,2,10.5,20,100
1,8,10.5,10,20
 - East
2,1,10.5,20,100
2,7,10.5,10,20
2,11,10.5,20,20
 - Hospital
4,1,10.5,5,20
4,2,10.5,5,10
4,11,10.5,5,10
 - LSRC
5,2,10.5,5,40
 - Sanford
8,1,10.5,5,20
8,2,10.5,5,10
 - Physics
6,2,10.5,5,40
6,11,10.5,5,10
 - Trent
10,1,10.5,5,10
10,2,10.5,5,10
